t,y_numeric,y_exact
0,0,-1.11759e-08
0.04,0.9998,0.864319
0.08,0.998201,0.979692
0.12,0.995004,0.992327
0.16,0.990216,0.989682
0.2,0.983844,0.983601
0.24,0.975897,0.975696
0.28,0.96639,0.966195
0.32,0.955336,0.955145
0.36,0.942755,0.942565
0.4,0.928665,0.928478
0.44,0.913089,0.912905
0.48,0.896052,0.895872
0.52,0.877583,0.877406
0.56,0.857709,0.857536
0.6,0.836463,0.836294
0.64,0.813879,0.813714
0.68,0.789992,0.789833
0.72,0.764842,0.764688
0.76,0.738469,0.738319
0.8,0.710913,0.710769
0.84,0.682221,0.682083
0.88,0.652437,0.652305
0.92,0.62161,0.621484
0.96,0.589788,0.589668
1,0.557022,0.556909
1.04,0.523366,0.523259
1.08,0.488872,0.488772
1.12,0.453596,0.453503
1.16,0.417595,0.417509
1.2,0.380925,0.380846
1.24,0.343646,0.343575
1.28,0.305817,0.305753
1.32,0.267499,0.267443
1.36,0.228753,0.228705
1.4,0.189641,0.189601
1.44,0.150226,0.150193
1.48,0.11057,0.110545
1.52,0.0707375,0.0707208
1.56,0.0307918,0.0307831
1.6,-0.00920313,-0.00920392
1.64,-0.0491834,-0.0491762
1.68,-0.0890849,-0.0890697
1.72,-0.128844,-0.128821
1.76,-0.168397,-0.168366
1.8,-0.20768,-0.207641
1.84,-0.246632,-0.246585
1.88,-0.285188,-0.285134
1.92,-0.323289,-0.323227
1.96,-0.360872,-0.360802
2,-0.397878,-0.397801
