t,x,y
0,0.1,0.1
0.25,0.134701,0.177611
0.5,0.197918,0.32812
0.75,0.314488,0.60444
1,0.518432,1.02711
1.25,0.819249,1.37943
1.5,1.1387,1.17622
1.75,1.34895,0.505788
2,1.41054,-0.0130805
2.25,1.37632,-0.260724
2.5,1.29445,-0.394193
2.75,1.18083,-0.514791
3,1.03064,-0.686726
3.25,0.817974,-1.0146
3.5,0.462323,-1.8306
3.75,-0.289527,-4.1842
4,-1.42606,-4.90806
4.25,-2.07503,-0.283717
4.5,-2.07767,0.262637
4.75,-2.02001,0.198648
5,-1.96823,0.215569
5.25,-1.91318,0.22484
5.5,-1.85553,0.236374
5.75,-1.79475,0.249879
6,-1.73026,0.266016
6.25,-1.66129,0.285717
6.5,-1.58678,0.310414
6.75,-1.50517,0.342427
7,-1.41415,0.385748
7.25,-1.30995,0.447807
7.5,-1.18599,0.543864
7.75,-1.0293,0.709678
8,-0.80992,1.04537
8.25,-0.441432,1.90253
8.5,0.340405,4.35217
8.75,1.47731,4.74307
9,2.08793,0.141893
9.25,2.07508,-0.244677
9.5,2.01938,-0.200969
9.75,1.96731,-0.215537
10,1.91224,-0.225027
10.25,1.85454,-0.236581
10.5,1.7937,-0.250124
10.75,1.72915,-0.266313
11,1.6601,-0.286083
11.25,1.58548,-0.31088
11.5,1.50374,-0.343042
11.75,1.41253,-0.386602
12,1.30807,-0.44907
12.25,1.1837,-0.545908
12.5,1.02628,-0.713436
12.75,0.805391,-1.0537
13,0.432888,-1.92633
13.25,-0.358604,-4.40561
13.5,-1.49402,-4.67769
13.75,-2.09115,-0.0993538
14,-2.07368,0.239108
14.25,-2.01857,0.201804
14.5,-1.96639,0.215635
14.75,-1.91128,0.225213
15,-1.85353,0.236794
15.25,-1.79263,0.250377
15.5,-1.72801,0.266617
15.75,-1.65887,0.28646
16,-1.58415,0.31136
16.25,-1.50227,0.343676
16.5,-1.41087,0.387482
16.75,-1.30614,0.450375
17,-1.18134,0.548024
17.25,-1.02317,0.717334
17.5,-0.800707,1.06237
17.75,-0.424009,1.95122
18,0.377406,4.4601
18.25,1.51097,4.60843
18.5,2.09424,0.0577446
18.75,2.07226,-0.233616
19,2.01773,-0.202627
19.25,1.96543,-0.21574
19.5,1.91029,-0.225405
19.75,1.85249,-0.237014
20,1.79153,-0.250636
20.25,1.72684,-0.266931
20.5,1.65761,-0.286848
20.75,1.58278,-0.311854
21,1.50075,-0.34433
21.25,1.40916,-0.38839
21.5,1.30415,-0.451723
21.75,1.17891,-0.550214
22,1.01996,-0.721381
22.25,0.79586,-1.0714
22.5,0.414777,-1.97726
22.75,-0.396827,-4.51557
23,-1.52817,-4.53515
23.25,-2.09721,-0.0171821
23.5,-2.07083,0.228223
23.75,-2.01687,0.203436
24,-1.96446,0.215851
24.25,-1.90928,0.225601
24.5,-1.85142,0.237239
24.75,-1.79041,0.250903
25,-1.72564,0.267253
