x,u
0,0
0.00628319,0.00627305
0.0125664,0.0110617
0.0188496,0.0158669
0.0251327,0.0206865
0.0314159,0.0255187
0.0376991,0.030362
0.0439823,0.0352149
0.0502655,0.0400763
0.0565487,0.0449449
0.0628319,0.0498199
0.069115,0.0547003
0.0753982,0.0595853
0.0816814,0.0644743
0.0879646,0.0693665
0.0942478,0.0742615
0.100531,0.0791587
0.106814,0.0840576
0.113097,0.0889579
0.119381,0.093859
0.125664,0.0987608
0.131947,0.103663
0.13823,0.108565
0.144513,0.113466
0.150796,0.118368
0.15708,0.123268
0.163363,0.128167
0.169646,0.133065
0.175929,0.137962
0.182212,0.142857
0.188496,0.14775
0.194779,0.152641
0.201062,0.15753
0.207345,0.162417
0.213628,0.167301
0.219911,0.172183
0.226195,0.177063
0.232478,0.181939
0.238761,0.186813
0.245044,0.191683
0.251327,0.19655
0.257611,0.201414
0.263894,0.206275
0.270177,0.211132
0.27646,0.215986
0.282743,0.220835
0.289027,0.225681
0.29531,0.230523
0.301593,0.235361
0.307876,0.240195
0.314159,0.245025
0.320442,0.24985
0.326726,0.25467
0.333009,0.259486
0.339292,0.264298
0.345575,0.269105
0.351858,0.273906
0.358142,0.278703
0.364425,0.283495
0.370708,0.288282
0.376991,0.293063
0.383274,0.297839
0.389558,0.302609
0.395841,0.307374
0.402124,0.312134
0.408407,0.316887
0.41469,0.321635
0.420973,0.326376
0.427257,0.331112
0.43354,0.335841
0.439823,0.340564
0.446106,0.345281
0.452389,0.349991
0.458673,0.354695
0.464956,0.359392
0.471239,0.364082
0.477522,0.368765
0.483805,0.373441
0.490088,0.37811
0.496372,0.382772
0.502655,0.387427
0.508938,0.392074
0.515221,0.396713
0.521504,0.401345
0.527788,0.40597
0.534071,0.410586
0.540354,0.415195
0.546637,0.419795
0.55292,0.424387
0.559204,0.428971
0.565487,0.433547
0.57177,0.438114
0.578053,0.442672
0.584336,0.447222
0.590619,0.451763
0.596903,0.456295
0.603186,0.460818
0.609469,0.465332
0.615752,0.469836
0.622035,0.474331
0.628319,0.478817
0.634602,0.483293
0.640885,0.487759
0.647168,0.492215
0.653451,0.496662
0.659734,0.501098
0.666018,0.505524
0.672301,0.50994
0.678584,0.514346
0.684867,0.518741
0.69115,0.523125
0.697434,0.527498
0.703717,0.531861
0.71,0.536212
0.716283,0.540553
0.722566,0.544882
0.72885,0.549199
0.735133,0.553506
0.741416,0.5578
0.747699,0.562083
0.753982,0.566354
0.760265,0.570613
0.766549,0.574859
0.772832,0.579094
0.779115,0.583316
0.785398,0.587525
0.791681,0.591722
0.797965,0.595906
0.804248,0.600078
0.810531,0.604236
0.816814,0.608381
0.823097,0.612513
0.82938,0.616631
0.835664,0.620736
0.841947,0.624827
0.84823,0.628904
0.854513,0.632967
0.860796,0.637016
0.86708,0.641051
0.873363,0.645072
0.879646,0.649078
0.885929,0.653069
0.892212,0.657046
0.898495,0.661007
0.904779,0.664954
0.911062,0.668885
0.917345,0.672801
0.923628,0.676702
0.929911,0.680587
0.936195,0.684456
0.942478,0.688309
0.948761,0.692147
0.955044,0.695968
0.961327,0.699772
0.967611,0.703561
0.973894,0.707332
0.980177,0.711087
0.98646,0.714825
0.992743,0.718546
0.999026,0.722249
1.00531,0.725935
1.01159,0.729604
1.01788,0.733255
1.02416,0.736888
1.03044,0.740504
1.03673,0.744101
1.04301,0.747679
1.04929,0.75124
1.05558,0.754782
1.06186,0.758305
1.06814,0.761809
1.07442,0.765294
1.08071,0.768759
1.08699,0.772206
1.09327,0.775633
1.09956,0.77904
1.10584,0.782427
1.11212,0.785795
1.11841,0.789142
1.12469,0.792469
1.13097,0.795775
1.13726,0.799061
1.14354,0.802326
1.14982,0.80557
1.15611,0.808792
1.16239,0.811994
1.16867,0.815174
1.17496,0.818332
1.18124,0.821469
1.18752,0.824583
1.19381,0.827675
1.20009,0.830745
1.20637,0.833793
1.21265,0.836818
1.21894,0.83982
1.22522,0.842799
1.2315,0.845755
1.23779,0.848687
1.24407,0.851596
1.25035,0.854481
1.25664,0.857343
1.26292,0.86018
1.2692,0.862993
1.27549,0.865782
1.28177,0.868546
1.28805,0.871286
1.29434,0.874
1.30062,0.87669
1.3069,0.879354
1.31319,0.881992
1.31947,0.884606
1.32575,0.887193
1.33204,0.889754
1.33832,0.892289
1.3446,0.894798
1.35088,0.89728
1.35717,0.899736
1.36345,0.902164
1.36973,0.904566
1.37602,0.90694
1.3823,0.909287
1.38858,0.911606
1.39487,0.913897
1.40115,0.91616
1.40743,0.918396
1.41372,0.920602
1.42,0.92278
1.42628,0.92493
1.43257,0.92705
1.43885,0.929142
1.44513,0.931204
1.45142,0.933236
1.4577,0.935239
1.46398,0.937212
1.47027,0.939155
1.47655,0.941067
1.48283,0.94295
1.48911,0.944801
1.4954,0.946622
1.50168,0.948411
1.50796,0.95017
1.51425,0.951897
1.52053,0.953593
1.52681,0.955256
1.5331,0.956888
1.53938,0.958488
1.54566,0.960055
1.55195,0.961589
1.55823,0.963091
1.56451,0.96456
1.5708,0.965996
1.57708,0.967398
1.58336,0.968768
1.58965,0.970103
1.59593,0.971404
1.60221,0.972672
1.6085,0.973905
1.61478,0.975104
1.62106,0.976268
1.62735,0.977397
1.63363,0.978491
1.63991,0.97955
1.64619,0.980574
1.65248,0.981562
1.65876,0.982514
1.66504,0.98343
1.67133,0.98431
1.67761,0.985153
1.68389,0.98596
1.69018,0.98673
1.69646,0.987463
1.70274,0.988159
1.70903,0.988818
1.71531,0.989439
1.72159,0.990023
1.72788,0.990568
1.73416,0.991076
1.74044,0.991545
1.74673,0.991976
1.75301,0.992368
1.75929,0.992721
1.76558,0.993035
1.77186,0.99331
1.77814,0.993546
1.78442,0.993742
1.79071,0.993898
1.79699,0.994014
1.80327,0.994091
1.80956,0.994126
1.81584,0.994122
1.82212,0.994077
1.82841,0.99399
1.83469,0.993863
1.84097,0.993695
1.84726,0.993485
1.85354,0.993234
1.85982,0.99294
1.86611,0.992605
1.87239,0.992228
1.87867,0.991809
1.88496,0.991347
1.89124,0.990843
1.89752,0.990295
1.90381,0.989705
1.91009,0.989072
1.91637,0.988395
1.92265,0.987675
1.92894,0.986912
1.93522,0.986104
1.9415,0.985253
1.94779,0.984358
1.95407,0.983418
1.96035,0.982434
1.96664,0.981405
1.97292,0.980332
1.9792,0.979214
1.98549,0.978051
1.99177,0.976842
1.99805,0.975588
2.00434,0.974289
2.01062,0.972944
2.0169,0.971554
2.02319,0.970117
2.02947,0.968635
2.03575,0.967106
2.04204,0.965531
2.04832,0.96391
2.0546,0.962242
2.06088,0.960527
2.06717,0.958766
2.07345,0.956957
2.07973,0.955101
2.08602,0.953199
2.0923,0.951248
2.09858,0.949251
2.10487,0.947206
2.11115,0.945113
2.11743,0.942973
2.12372,0.940784
2.13,0.938548
2.13628,0.936263
2.14257,0.933931
2.14885,0.93155
2.15513,0.92912
2.16142,0.926643
2.1677,0.924116
2.17398,0.921541
2.18027,0.918917
2.18655,0.916245
2.19283,0.913523
2.19911,0.910753
2.2054,0.907934
2.21168,0.905065
2.21796,0.902147
2.22425,0.899181
2.23053,0.896164
2.23681,0.893099
2.2431,0.889984
2.24938,0.88682
2.25566,0.883606
2.26195,0.880342
2.26823,0.87703
2.27451,0.873667
2.2808,0.870255
2.28708,0.866793
2.29336,0.863282
2.29965,0.859721
2.30593,0.85611
2.31221,0.852449
2.3185,0.848739
2.32478,0.844979
2.33106,0.841169
2.33734,0.83731
2.34363,0.833401
2.34991,0.829442
2.35619,0.825433
2.36248,0.821375
2.36876,0.817267
2.37504,0.81311
2.38133,0.808903
2.38761,0.804647
2.39389,0.800341
2.40018,0.795986
2.40646,0.791581
2.41274,0.787127
2.41903,0.782624
2.42531,0.778072
2.43159,0.773471
2.43788,0.76882
2.44416,0.764121
2.45044,0.759373
2.45673,0.754576
2.46301,0.749731
2.46929,0.744837
2.47557,0.739895
2.48186,0.734904
2.48814,0.729865
2.49442,0.724779
2.50071,0.719644
2.50699,0.714462
2.51327,0.709232
2.51956,0.703955
2.52584,0.69863
2.53212,0.693258
2.53841,0.687839
2.54469,0.682374
2.55097,0.676862
2.55726,0.671304
2.56354,0.665699
2.56982,0.660048
2.57611,0.654352
2.58239,0.64861
2.58867,0.642823
2.59496,0.63699
2.60124,0.631113
2.60752,0.625191
2.61381,0.619225
2.62009,0.613214
2.62637,0.60716
2.63265,0.601062
2.63894,0.594921
2.64522,0.588736
2.6515,0.582509
2.65779,0.57624
2.66407,0.569928
2.67035,0.563575
2.67664,0.557179
2.68292,0.550743
2.6892,0.544266
2.69549,0.537748
2.70177,0.53119
2.70805,0.524592
2.71434,0.517955
2.72062,0.511278
2.7269,0.504563
2.73319,0.49781
2.73947,0.491018
2.74575,0.484189
2.75204,0.477322
2.75832,0.470419
2.7646,0.46348
2.77088,0.456504
2.77717,0.449493
2.78345,0.442446
2.78973,0.435366
2.79602,0.428251
2.8023,0.421102
2.80858,0.41392
2.81487,0.406705
2.82115,0.399458
2.82743,0.392178
2.83372,0.384868
2.84,0.377527
2.84628,0.370155
2.85257,0.362754
2.85885,0.355323
2.86513,0.347863
2.87142,0.340375
2.8777,0.332859
2.88398,0.325317
2.89027,0.317747
2.89655,0.310152
2.90283,0.302531
2.90911,0.294885
2.9154,0.287214
2.92168,0.27952
2.92796,0.271803
2.93425,0.264063
2.94053,0.256301
2.94681,0.248517
2.9531,0.240713
2.95938,0.232889
2.96566,0.225045
2.97195,0.217182
2.97823,0.209301
2.98451,0.201402
2.9908,0.193486
2.99708,0.185554
3.00336,0.177606
3.00965,0.169643
3.01593,0.161665
3.02221,0.153674
3.0285,0.145669
3.03478,0.137652
3.04106,0.129623
3.04734,0.121584
3.05363,0.113533
3.05991,0.105473
3.06619,0.0974044
3.07248,0.0893268
3.07876,0.0812417
3.08504,0.0731497
3.09133,0.0650511
3.09761,0.0569471
3.10389,0.0488379
3.11018,0.0407247
3.11646,0.032608
3.12274,0.0244883
3.12903,0.0163666
3.13531,0.00824328
3.14159,0.000119435
3.14788,-0.00800444
3.15416,-0.0161279
3.16044,-0.0242497
3.16673,-0.0323698
3.17301,-0.0404868
3.17929,-0.0486006
3.18558,-0.05671
3.19186,-0.0648146
3.19814,-0.0729138
3.20442,-0.0810066
3.21071,-0.0890927
3.21699,-0.0971709
3.22327,-0.105241
3.22956,-0.113302
3.23584,-0.121353
3.24212,-0.129394
3.24841,-0.137424
3.25469,-0.145442
3.26097,-0.153448
3.26726,-0.161441
3.27354,-0.16942
3.27982,-0.177385
3.28611,-0.185334
3.29239,-0.193268
3.29867,-0.201186
3.30496,-0.209087
3.31124,-0.21697
3.31752,-0.224834
3.32381,-0.23268
3.33009,-0.240507
3.33637,-0.248313
3.34265,-0.256098
3.34894,-0.263863
3.35522,-0.271605
3.3615,-0.279324
3.36779,-0.287021
3.37407,-0.294693
3.38035,-0.302342
3.38664,-0.309965
3.39292,-0.317563
3.3992,-0.325135
3.40549,-0.332681
3.41177,-0.340199
3.41805,-0.347689
3.42434,-0.355152
3.43062,-0.362585
3.4369,-0.369989
3.44319,-0.377364
3.44947,-0.384708
3.45575,-0.392021
3.46204,-0.399303
3.46832,-0.406553
3.4746,-0.41377
3.48088,-0.420955
3.48717,-0.428107
3.49345,-0.435225
3.49973,-0.442309
3.50602,-0.449358
3.5123,-0.456372
3.51858,-0.46335
3.52487,-0.470293
3.53115,-0.477199
3.53743,-0.484068
3.54372,-0.4909
3.55,-0.497695
3.55628,-0.504451
3.56257,-0.511169
3.56885,-0.517849
3.57513,-0.524489
3.58142,-0.53109
3.5877,-0.53765
3.59398,-0.544171
3.60027,-0.550651
3.60655,-0.55709
3.61283,-0.563488
3.61911,-0.569844
3.6254,-0.576159
3.63168,-0.582431
3.63796,-0.588661
3.64425,-0.594848
3.65053,-0.600992
3.65681,-0.607093
3.6631,-0.61315
3.66938,-0.619163
3.67566,-0.625132
3.68195,-0.631056
3.68823,-0.636936
3.69451,-0.642771
3.7008,-0.648561
3.70708,-0.654305
3.71336,-0.660004
3.71965,-0.665657
3.72593,-0.671264
3.73221,-0.676825
3.7385,-0.682339
3.74478,-0.687807
3.75106,-0.693228
3.75734,-0.698602
3.76363,-0.703929
3.76991,-0.709208
3.77619,-0.71444
3.78248,-0.719625
3.78876,-0.724761
3.79504,-0.72985
3.80133,-0.734891
3.80761,-0.739883
3.81389,-0.744827
3.82018,-0.749723
3.82646,-0.75457
3.83274,-0.759369
3.83903,-0.764119
3.84531,-0.76882
3.85159,-0.773472
3.85788,-0.778075
3.86416,-0.782629
3.87044,-0.787134
3.87673,-0.791589
3.88301,-0.795995
3.88929,-0.800352
3.89558,-0.804659
3.90186,-0.808917
3.90814,-0.813125
3.91442,-0.817284
3.92071,-0.821393
3.92699,-0.825452
3.93327,-0.829462
3.93956,-0.833422
3.94584,-0.837332
3.95212,-0.841193
3.95841,-0.845004
3.96469,-0.848765
3.97097,-0.852476
3.97726,-0.856138
3.98354,-0.859749
3.98982,-0.863311
3.99611,-0.866824
4.00239,-0.870286
4.00867,-0.873699
4.01496,-0.877063
4.02124,-0.880376
4.02752,-0.88364
4.0338,-0.886855
4.04009,-0.89002
4.04637,-0.893135
4.05265,-0.896201
4.05894,-0.899218
4.06522,-0.902186
4.0715,-0.905104
4.07779,-0.907973
4.08407,-0.910792
4.09035,-0.913563
4.09664,-0.916285
4.10292,-0.918958
4.1092,-0.921582
4.11549,-0.924157
4.12177,-0.926684
4.12805,-0.929162
4.13434,-0.931592
4.14062,-0.933973
4.1469,-0.936305
4.15319,-0.93859
4.15947,-0.940827
4.16575,-0.943015
4.17204,-0.945156
4.17832,-0.947248
4.1846,-0.949294
4.19088,-0.951291
4.19717,-0.953241
4.20345,-0.955144
4.20973,-0.956999
4.21602,-0.958808
4.2223,-0.960569
4.22858,-0.962284
4.23487,-0.963951
4.24115,-0.965573
4.24743,-0.967148
4.25372,-0.968676
4.26,-0.970158
4.26628,-0.971594
4.27257,-0.972985
4.27885,-0.974329
4.28513,-0.975628
4.29142,-0.976881
4.2977,-0.97809
4.30398,-0.979252
4.31027,-0.98037
4.31655,-0.981443
4.32283,-0.982471
4.32911,-0.983455
4.3354,-0.984394
4.34168,-0.985289
4.34796,-0.98614
4.35425,-0.986947
4.36053,-0.98771
4.36681,-0.98843
4.3731,-0.989106
4.37938,-0.989739
4.38566,-0.990328
4.39195,-0.990875
4.39823,-0.991379
4.40451,-0.99184
4.4108,-0.992259
4.41708,-0.992636
4.42336,-0.99297
4.42965,-0.993263
4.43593,-0.993514
4.44221,-0.993723
4.4485,-0.993891
4.45478,-0.994018
4.46106,-0.994103
4.46734,-0.994148
4.47363,-0.994152
4.47991,-0.994116
4.48619,-0.994039
4.49248,-0.993922
4.49876,-0.993765
4.50504,-0.993569
4.51133,-0.993333
4.51761,-0.993057
4.52389,-0.992742
4.53018,-0.992388
4.53646,-0.991996
4.54274,-0.991565
4.54903,-0.991095
4.55531,-0.990587
4.56159,-0.990041
4.56788,-0.989457
4.57416,-0.988835
4.58044,-0.988176
4.58673,-0.987479
4.59301,-0.986746
4.59929,-0.985975
4.60558,-0.985168
4.61186,-0.984324
4.61814,-0.983443
4.62442,-0.982527
4.63071,-0.981574
4.63699,-0.980586
4.64327,-0.979562
4.64956,-0.978503
4.65584,-0.977408
4.66212,-0.976278
4.66841,-0.975114
4.67469,-0.973915
4.68097,-0.972681
4.68726,-0.971413
4.69354,-0.970111
4.69982,-0.968776
4.70611,-0.967406
4.71239,-0.966003
4.71867,-0.964567
4.72496,-0.963098
4.73124,-0.961596
4.73752,-0.960061
4.7438,-0.958494
4.75009,-0.956894
4.75637,-0.955262
4.76265,-0.953598
4.76894,-0.951902
4.77522,-0.950175
4.7815,-0.948416
4.78779,-0.946626
4.79407,-0.944805
4.80035,-0.942954
4.80664,-0.941071
4.81292,-0.939159
4.8192,-0.937216
4.82549,-0.935243
4.83177,-0.93324
4.83805,-0.931207
4.84434,-0.929145
4.85062,-0.927054
4.8569,-0.924933
4.86319,-0.922784
4.86947,-0.920605
4.87575,-0.918399
4.88204,-0.916164
4.88832,-0.9139
4.8946,-0.911609
4.90088,-0.90929
4.90717,-0.906943
4.91345,-0.904569
4.91973,-0.902168
4.92602,-0.899739
4.9323,-0.897284
4.93858,-0.894802
4.94487,-0.892293
4.95115,-0.889758
4.95743,-0.887197
4.96372,-0.88461
4.97,-0.881998
4.97628,-0.879359
4.98257,-0.876695
4.98885,-0.874006
4.99513,-0.871292
5.00142,-0.868553
5.0077,-0.865789
5.01398,-0.863
